element_id,element_class,entity_id,entity_class
354,CH,CRESTIIEN,PROPER
373,CH,KEU,PROPER
373,CH,KEU,PROPER
374,CH,KEU,PROPER
377,CH,KEU,PROPER
379,CH,GAUVAIN,PROPER
380,CH,GAUVAIN,PROPER
380,CH,GAUVAIN,PROPER
382,CH,REISON,PROPER
404,CH,GAUVAIN,PROPER
406,CH,GAUVAIN,PROPER
416,CH,DEU,PROPER
419,CH,BADEMAGU,PROPER
421,CH,EVE,PROPER
434,CH,TESSAILE,PROPER
487,CH,JAQUE,PROPER
487,CH,MARTIN,PROPER
490,CH,DEU,PROPER
509,CH,DEU,PROPER
521,CH,DONBES,PROPER
521,CH,PANPELUNE,PROPER
541,CH,LOGRES,PROPER
564,CH,MELEAGANT,PROPER
564,CH,MELEAGANT,PROPER
568,CH,SARRAZIN,PROPER
611,CH,BADEMAGU,PROPER
613,RR,CHANPAIGNE,PROPER
619,RR,ASCANSION,PROPER
619,RR,CARLION,PROPER
681,CH,BADEMAGU,PROPER
686,CH,GUENIEVRE,PROPER
709,CH,ARTU,PROPER
709,CH,LOGRES,PROPER
709,CH,NOEL,PROPER
709,CH,PANTECOSTE,PROPER
717,CH,LANCELOT,PROPER
717,CH,LANCELOT,PROPER
721,CH,LANCELOT,PROPER
723,CH,LANCELOT,PROPER
723,CH,LANCELOT,PROPER
723,CH,MELEAGANT,PROPER
723,CH,MELEAGANT,PROPER
724,CH,LANCELOT,PROPER
729,CH,LANCELOT,PROPER
729,CH,LANCELOT,PROPER
730,CH,LANCELOT,PROPER
730,CH,LANCELOT,PROPER
730,CH,PIRAMUS,PROPER
736,CH,ARTU,PROPER
736,CH,LANCELOT,PROPER
738,CH,LANCELOT,PROPER
740,CH,LANCELOT,PROPER
740,CH,LANCELOT,PROPER
746,CH,LANCELOT,PROPER
1028,RR,YSORE,PROPER
1051,RR,LANDI,PROPER
1408,RR,BADEMAGU,PROPER
1486,RR,GUENIEVRE,PROPER
1523,RR,MARIES LES TROIS,PROPER
1551,RR,PERE,PROPER
1874,EN,MELEAGANT,PROPER
1927,EN,DEU,PROPER
2038,EN,KEU,PROPER
2058,EN,GAUVAIN,PROPER
2068,EN,DEU,PROPER
2081,EN,GAUVAIN,PROPER
2084,EN,GAUVAIN,PROPER
2184,EN,DEU,PROPER
2242,CH,LANCELOT,PROPER
2244,CH,LANCELOT,PROPER
2244,CH,LANCELOT,PROPER
2325,EN,DEU,PROPER
2366,CH,LANCELOT,PROPER
2366,CH,LANCELOT,PROPER
2470,EN,DEU,PROPER
2546,CH,DEU,PROPER
2567,CH,LANCELOT,PROPER
2567,CH,LANCELOT,PROPER
2571,CH,LANCELOT,PROPER
2624,CH,LANCELOT,PROPER
2630,CH,KEU,PROPER
2635,CH,LANCELOT,PROPER
2635,CH,LANCELOT,PROPER
2635,CH,MELEAGANT,PROPER
2635,CH,MELEAGANT,PROPER
2649,CH,LAC,PROPER
2649,CH,LANCELOT,PROPER
2651,CH,LANCELOT,PROPER
2652,CH,MELEAGANT,PROPER
2653,CH,GAUVAIN,PROPER
2653,CH,GAUVAIN,PROPER
2653,CH,LANCELOT,PROPER
2654,CH,GAUVAIN,PROPER
2654,CH,LANCELOT,PROPER
2654,CH,LANCELOT,PROPER
2656,CH,GAUVAIN,PROPER
2656,CH,GAUVAIN,PROPER
2656,CH,KEU,PROPER
2656,CH,KEU,PROPER
2661,CH,GAUVAIN,PROPER
2661,CH,KEU,PROPER
2662,CH,KEU,PROPER
2664,CH,GAUVAIN,PROPER
2669,CH,LANCELOT,PROPER
2669,CH,LANCELOT,PROPER
2673,CH,LANCELOT,PROPER
2675,CH,LANCELOT,PROPER
2772,RR,LANCELOT,PROPER
2780,RR,BREIBANÃ‡ON,PROPER
2802,RR,DEU,PROPER
2862,RR,DEU,PROPER
2984,RR,CRIATOR,PROPER
3010,RR,LANCELOT,PROPER
3034,RR,NOAUZ,PROPER
3045,RR,LANCELOT,PROPER
3083,CH,LANCELOT,PROPER
3083,CH,LANCELOT,PROPER
3087,CH,LANCELOT,PROPER
3089,CH,ARTU,PROPER
3090,CH,GAUVAIN,PROPER
3090,CH,MELEAGANT,PROPER
3093,CH,LANCELOT,PROPER
3098,CH,BADEMAGU,PROPER
3099,CH,LANCELOT,PROPER
3102,CH,LANCELOT,PROPER
3123,CH,LANCELOT,PROPER
3123,CH,LANCELOT,PROPER
3125,CH,FORTUNE,PROPER
3125,CH,FORTUNE,PROPER
3132,CH,MELEAGANT,PROPER
3137,CH,BUCIFAL,PROPER
3137,CH,ESPAINGNE,PROPER
3141,CH,REISON,PROPER
3143,CH,MELEAGANT,PROPER
3145,CH,LANCELOT,PROPER
3145,CH,LANCELOT,PROPER
3150,CH,ABEL,PROPER
3189,RR,ROBERDIC,PROPER
3191,RR,ARRAGON,PROPER
3196,RR,PILADES,PROPER
3197,RR,TOLOSE,PROPER
3198,RR,ROSNE,PROPER
3199,RR,TAULAS DE LA DESERTE,PROPER
3200,RR,LONDRES,PROPER
3253,RR,NOAUZ,PROPER
3356,RR,LANCELOT,PROPER
3374,RR,LANCELOT,PROPER
3380,RR,ESPERIT,PROPER
3441,RR,BADEMAGU,PROPER
3447,RR,LANCELOT,PROPER
3470,RR,GANT,PROPER
3470,RR,MELEAGANT,PROPER
3496,RR,LANCELOT,PROPER
3605,EN,MELEAGANT,PROPER
3621,EN,LANCELOT,PROPER
3623,EN,MELEAGANT,PROPER
3627,EN,LANCELOT,PROPER
3635,EN,MELEAGANT,PROPER
3636,EN,ARTU,PROPER
3641,EN,LANCELOT,PROPER
3761,CH,CRESTIIEN,PROPER
3761,CH,GODEFROI,PROPER
3761,CH,LEIGNI,PROPER
3792,AD,SARRAZIN,PROPER
3873,AD,PERE,PROPER
3962,RR,GAUVAIN,PROPER
3969,RR,DEU,PROPER
3970,RR,GAUVAIN,PROPER
3988,RR,DEU,PROPER
3996,RR,GAUVAIN,PROPER
4023,RR,DEU,PROPER
4025,RR,DEU,PROPER
4071,RR,JAQUE,PROPER
4071,RR,MARTIN,PROPER
4081,RR,DEU,PROPER
4088,RR,PERE,PROPER
4096,RR,DEU,PROPER
4097,RR,DONBES,PROPER
4098,RR,GAUVAIN,PROPER
4098,RR,LOOYS,PROPER
4098,RR,YVAIN,PROPER
4107,RR,AMIENS,PROPER
4118,RR,DEU,PROPER
4129,RR,DEU,PROPER
4136,RR,LOGRES,PROPER
4293,EN,EVE,PROPER
4299,EN,LANCELOT,PROPER
4301,EN,LANCELOT,PROPER
4302,EN,LANCELOT,PROPER
4346,EN,LANCELOT,PROPER
4358,EN,KEU,PROPER
4375,EN,LANCELOT,PROPER
4385,EN,KEU,PROPER
4403,EN,MELEAGANT,PROPER
4428,EN,EVE,PROPER
4445,EN,LANCELOT,PROPER
4451,EN,LANCELOT,PROPER
4480,EN,MELEAGANT,PROPER
4481,EN,MELEAGANT,PROPER
4482,EN,LANCELOT,PROPER
4483,EN,LANCELOT,PROPER
4504,EN,LANCELOT,PROPER
4550,EN,ANGLETERRE,PROPER
4566,EN,IRLANDE,PROPER
4586,EN,LANCELOT,PROPER
4588,EN,MELEAGANT,PROPER
4591,EN,MELEAGANT,PROPER
4597,EN,MELEAGANT,PROPER
4602,EN,KEU,PROPER
4603,EN,MELEAGANT,PROPER
4607,EN,GAUVAIN,PROPER
4611,EN,BADEMAGU,PROPER
4616,EN,MELEAGANT,PROPER
4628,EN,FORTUNE,PROPER
4638,EN,SELVESTRE,PROPER
4656,EN,DEU,PROPER
4657,EN,ARTU,PROPER
4661,EN,MELEAGANT,PROPER
4668,EN,LANCELOT,PROPER
4685,EN,MELEAGANT,PROPER
4693,EN,MELEAGANT,PROPER
4703,EN,CRESTIIEN,PROPER
4889,RR,PEITIERS,PROPER
4891,RR,LOGRES,PROPER
4891,RR,LOGRES,PROPER
4901,RR,LANCELOT,PROPER
4934,RR,LANCELOT,PROPER
4934,RR,LANCELOT,PROPER
4985,EN,EVE,PROPER
5095,RR,IRLANDE,PROPER
5120,RR,LIMOGES,PROPER
5121,RR,KEU D'ESTRAUS,PROPER
5143,RR,GORRE,PROPER
5143,RR,LANCELOT,PROPER
5143,RR,MELEAGANT,PROPER
5147,RR,MELEAGANT,PROPER
5157,RR,LANCELOT,PROPER
