element_id,element_type,entity_id,entity_type
c17-p26,paragraph,Aelliot,character
c17-p26,paragraph,LRussell,character
c17-p26,paragraph,WElliot,character
c17-p27,paragraph,AElliot,character
c17-p27,paragraph,WElliot,character
c17-p28,paragraph,AElliot,character
c17-p28,paragraph,WElliot,character
c17-p29,paragraph,WElliot,character
c01-p01,paragraph,SWElliot,character
c01-p03,paragraph,SWElliot,character
c01-p03,paragraph,LEElliot,character
c01-p03,paragraph,JStevenson,character
c01-p03,paragraph,EElliot,character
c01-p03,paragraph,AElliot,character
c01-p03,paragraph,MMusgrove,character
c01-p03,paragraph,BabyElliot,character
c01-p04,paragraph,SWElliot,character
c01-p04,paragraph,MMusgrove,character
c01-p05,paragraph,SWElliot,character
c01-p06,paragraph,SWElliot,character
c01-p06,paragraph,WElliot,character
c01-p07,paragraph,SWElliot,character
c01-p08,paragraph,LEElliot,character
c01-p08,paragraph,EElliot,character
c01-p08,paragraph,AElliot,character
c01-p08,paragraph,MMusgrove,character
c01-p08,paragraph,SWElliot,character
c01-p08,paragraph,LRussell,character
c01-p09,paragraph,LRussell,character
c01-p09,paragraph,SWElliot,character
c01-p09,paragraph,LEElliot,character
c01-p10,paragraph,LRussell,character
c01-p10,paragraph,SWElliot,character
c01-p10,paragraph,EElliot,character
c01-p10,paragraph,MMusgrove,character
c01-p10,paragraph,AElliot,character
c01-p11,paragraph,LRussell,character
c01-p11,paragraph,AElliot,character
c01-p12,paragraph,AElliot,character
c01-p12,paragraph,SWElliot,character
c01-p12,paragraph,MMusgrove,character
c01-p12,paragraph,EElliot,character
c01-p13,paragraph,EElliot,character
c01-p13,paragraph,SWElliot,character
c01-p13,paragraph,AElliot,character
c01-p13,paragraph,MMusgrove,character
c01-p13,paragraph,LRussell,character
c01-p14,paragraph,EElliot,character
c01-p14,paragraph,LRussell,character
c01-p14,paragraph,SWElliot,character
c01-p15,paragraph,EElliot,character
c01-p15,paragraph,WElliot,character
c01-p16,paragraph,EElliot,character
c01-p16,paragraph,WElliot,character
c01-p16,paragraph,LEElliot,character
c01-p16,paragraph,SWElliot,character
c01-p17,paragraph,WElliot,character
c01-p17,paragraph,EElliot,character
c01-p18,paragraph,SWElliot,character
c01-p18,paragraph,WElliot,character
c01-p19,paragraph,WElliot,character
c01-p19,paragraph,EElliot,character
c01-p20,paragraph,EElliot,character
c01-p21,paragraph,SWElliot,character
c01-p21,paragraph,MShepherd,character
c01-p21,paragraph,LEElliot,character
c01-p21,paragraph,EElliot,character
c01-p21,paragraph,AElliot,character
c01-p22,paragraph,SWElliot,character
c01-p23,paragraph,MShepherd,character
c01-p23,paragraph,LRussell,character
c01-p23,paragraph,SWElliot,character
c01-p23,paragraph,EElliot,character
c02-p01,paragraph,MShepherd,character
c02-p01,paragraph,SWElliot,character
c02-p01,paragraph,LRussell,character
c02-p02,paragraph,LRussell,character
c02-p02,paragraph,SWElliot,character
c02-p02,paragraph,AElliot,character
c02-p02,paragraph,MMusgrove,character
c02-p02,paragraph,EElliot,character
c02-p03,paragraph,LRussell,character
c02-p03,paragraph,SWElliot,character
c02-p03,paragraph,EElliot,character
c02-p03,paragraph,AElliot,character
c02-p04,paragraph,LRussell,character
c02-p04,paragraph,SWElliot,character
c02-p04,paragraph,AElliot,character
c02-p04,paragraph,EElliot,character
c02-p05,paragraph,AElliot,character
c02-p05,paragraph,LRussell,character
c02-p05,paragraph,EElliot,character
c02-p05,paragraph,SWElliot,character
c02-p06,paragraph,SWElliot,character
c02-p06,paragraph,LRussell,character
c02-p06,paragraph,AElliot,character
c02-p07,paragraph,SWElliot,character
c02-p07,paragraph,MShepherd,character
c02-p08,paragraph,SWElliot,character
c02-p09,paragraph,AElliot,character
c02-p09,paragraph,MMusgrove,character
c02-p09,paragraph,LRussell,character
c02-p10,paragraph,SWElliot,character
c02-p10,paragraph,LRussell,character
c02-p10,paragraph,MShepherd,character
c02-p10,paragraph,EElliot,character
c02-p11,paragraph,LRussell,character
c02-p11,paragraph,AElliot,character
c02-p11,paragraph,SWElliot,character
c02-p12,paragraph,LRussell,character
c02-p13,paragraph,SWElliot,character
c02-p14,paragraph,SWElliot,character
